Rank,NOC,Gold,Silver,Bronze,Total
1,United States,"1,105",879,781,"2,765"
2,Soviet Union*,395,319,296,"1,010"
3,China,303,226,198,727
4,Great Britain,298,339,343,980
5,France,239,278,299,816
6,Italy,229,201,228,658
7,Germany,218,220,255,693
8,Japan,189,162,191,542
9,Hungary,187,161,182,530
10,Australia,182,192,226,600
11,East Germany*,153,129,127,409
12,Sweden,151,181,182,514
13,Russia,147,125,150,422
14,Netherlands,110,112,134,356
15,South Korea,109,100,111,320
16,Finland,101,85,119,305
17,Romania,93,101,123,317
18,Cuba,86,70,88,244
19,Canada,80,117,156,353
20,Poland,73,93,142,308
21,Norway,65,53,53,171
22,New Zealand,63,40,54,157
23,Bulgaria,57,89,85,231
24,West Germany*,56,67,81,204
25,Switzerland,54,81,79,214
26,Spain,53,76,58,187
27,Denmark,50,80,84,214
28,Czechoslovakia*,49,49,45,143
29,Belgium,47,57,63,167
30,Unified Team*,45,38,29,112
31,Turkey,41,29,41,111
32,Brazil,40,49,81,170
33,Kenya,39,44,41,124
34,Ukraine,38,41,72,151
35,Greece,36,46,47,129
36,United Team of Germany*,28,54,36,118
37,South Africa,28,36,31,95
38,Jamaica,27,39,28,94
39,Iran,27,29,32,88
40,Yugoslavia*,26,29,28,83
41,Ethiopia,24,15,23,62
42,Austria,22,35,44,101
43,Argentina,22,27,31,80
44,Czech Republic,22,22,28,72
45,ROC (ROC)*,20,28,23,71
46,Uzbekistan,18,8,23,49
47,North Korea,16,18,27,61
48,Croatia,16,15,17,48
49,Kazakhstan,15,25,38,78
50,Ireland,15,10,17,42
51,Belarus,13,30,42,85
52,Mexico,13,27,37,77
53,Georgia,13,15,19,47
54,Thailand,11,11,19,41
55,Mixed team*,11,6,8,25
56,Indonesia,10,14,16,40
57,Slovakia,10,14,9,33
58,India,10,10,21,41
59,Slovenia,10,10,11,31
60,Estonia,10,9,17,36
61,Azerbaijan,9,16,31,56
62,Egypt,9,12,20,41
63,Chinese Taipei,9,11,23,43
64,Serbia,9,8,12,29
65,Morocco,8,5,13,26
66,Bahamas,8,2,6,16
67,Algeria,7,4,9,20
68,Portugal,6,11,15,32
69,Lithuania,6,9,15,30
70,Tunisia,6,4,8,18
71,Colombia,5,16,17,38
72,Uganda,5,5,3,13
73,Latvia,4,11,6,21
74,Israel,4,6,10,20
75,Dominican Republic,4,5,6,15
76,Ecuador,4,4,2,10
77,Hong Kong,4,3,6,13
78,Pakistan,4,3,4,11
79,Bahrain,4,3,1,8
80,Nigeria,3,11,13,27
81,Chile,3,8,4,15
82,Venezuela,3,7,9,19
83,Trinidad and Tobago,3,5,11,19
84,Philippines,3,5,10,18
85,Australasia*,3,4,5,12
86,Zimbabwe,3,4,1,8
87,Cameroon,3,1,2,6
88,Kosovo,3,1,1,5
89,Mongolia,2,12,17,31
90,Armenia,2,11,9,22
91,Serbia and Montenegro*,2,4,3,9
92,Puerto Rico,2,2,8,12
93,Uruguay,2,2,6,10
94,Qatar,2,2,5,9
95,Fiji,2,1,1,4
96,Luxembourg,2,1,0,3
97,Russian Empire (RU1)*,1,4,3,8
98,Individual Neutral Athletes*,1,3,1,5
98,Peru,1,3,1,5
98,Vietnam,1,3,1,5
101,Singapore,1,2,3,6
102,Botswana,1,2,1,4
102,Jordan,1,2,1,4
104,Tajikistan,1,1,5,7
105,Grenada,1,1,3,5
105,Ivory Coast,1,1,3,5
107,Costa Rica,1,1,2,4
107,Panama,1,1,2,4
107,Syria,1,1,2,4
110,Guatemala,1,1,1,3
111,Burundi,1,1,0,2
111,Saint Lucia,1,1,0,2
113,Bermuda,1,0,1,2
113,Independent Olympic Athletes*,1,0,1,2
113,Mozambique,1,0,1,2
113,Suriname,1,0,1,2
113,United Arab Emirates,1,0,1,2
118,Dominica,1,0,0,1
119,Malaysia,0,8,7,15
120,Kyrgyzstan,0,5,8,13
121,Namibia,0,5,0,5
122,Moldova,0,3,7,10
123,Iceland,0,2,2,4
123,Lebanon,0,2,2,4
123,Saudi Arabia,0,2,2,4
126,Cyprus,0,2,0,2
126,Sri Lanka,0,2,0,2
126,Tanzania,0,2,0,2
129,Ghana,0,1,4,5
130,Bohemia*,0,1,3,4
131,Independent Olympic Participants*,0,1,2,3
131,San Marino,0,1,2,3
131,Zambia,0,1,2,3
134,Haiti,0,1,1,2
134,Niger,0,1,1,2
134,North Macedonia,0,1,1,2
137,Gabon,0,1,0,1
137,Montenegro,0,1,0,1
137,Netherlands Antilles*,0,1,0,1
137,Paraguay,0,1,0,1
137,Samoa,0,1,0,1
137,Senegal,0,1,0,1
137,Sudan,0,1,0,1
137,Tonga,0,1,0,1
137,Turkmenistan,0,1,0,1
137,Virgin Islands,0,1,0,1
147,Kuwait,0,0,3,3
148,Afghanistan,0,0,2,2
148,Albania,0,0,2,2
148,British West Indies*,0,0,2,2
151,Barbados,0,0,1,1
151,Burkina Faso,0,0,1,1
151,Cape Verde,0,0,1,1
151,Djibouti,0,0,1,1
151,Eritrea,0,0,1,1
151,Guyana,0,0,1,1
151,Iraq,0,0,1,1
151,Mauritius,0,0,1,1
151,Refugee Olympic Team*,0,0,1,1
151,Togo,0,0,1,1
Totals (160 entries),Totals (160 entries),"5,798","5,763","6,278","17,839"
