Rank,NOC,Gold,Silver,Bronze,Total
1,Norway,148,134,123,405
2,United States,114,121,95,330
3,Germany,104,98,65,267
4,Soviet Union*,78,57,59,194
5,Canada,77,72,76,225
6,Austria,71,88,91,250
7,Sweden,65,51,60,176
8,Switzerland,63,47,58,168
9,Netherlands,53,49,45,147
10,Russia,47,39,35,121
11,Finland,45,65,65,175
12,Italy,42,43,56,141
13,France,41,42,55,138
14,East Germany*,39,36,35,110
15,South Korea,33,30,16,79
16,China,22,32,23,77
17,Japan,17,29,30,76
18,Great Britain,12,5,17,34
19,West Germany*,11,15,13,39
20,Czech Republic,10,11,13,34
21,Unified Team*,9,6,8,23
22,Belarus,8,7,5,20
23,United Team of Germany*,8,6,5,19
24,Poland,7,7,9,23
25,Australia,6,7,6,19
26,ROC*,5,12,15,32
27,Slovenia,4,8,12,24
28,Croatia,4,6,1,11
29,Slovakia,4,4,2,10
30,Estonia,4,2,2,8
31,Ukraine,3,2,4,9
32,Czechoslovakia*,2,8,15,25
33,Olympic Athletes from Russia (OAR)*,2,6,9,17
34,Hungary,2,2,6,10
34,Liechtenstein,2,2,6,10
36,Belgium,2,2,4,8
37,New Zealand,2,2,2,6
38,Latvia,1,3,6,10
39,Kazakhstan,1,3,4,8
40,Bulgaria,1,2,3,6
41,Spain,1,1,3,5
42,Uzbekistan,1,0,0,1
43,Yugoslavia*,0,3,1,4
44,Luxembourg,0,2,0,2
45,North Korea,0,1,1,2
46,Denmark,0,1,0,1
47,Romania,0,0,1,1
Totals (47 entries),Totals (47 entries),"1,171","1,169","1,160","3,500"
